Song Name,Artist Name,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Loudness,Liveness,Speechiness,Time_signature,Key,Valence,Tempo,Mode,Target,URL,Image
Kashmir - Remaster,Led Zeppelin,0.452,0.483,517125,0.615,0.000414,-8.538,0.0512,0.0497,3,2,0.594,80.576,1,1,https://open.spotify.com/track/24iJkM4Db6uRqnZlTCoqdY,https://i.scdn.co/image/ab67616d0000b273403882d0a287578bc0e92a4f
Whole Lotta Love - Remaster,Led Zeppelin,0.0617,0.401,334555,0.893,0.0391,-11.171,0.164,0.437,4,9,0.406,87.979,1,1,https://open.spotify.com/track/2rwGmr0xvbxyTuaBwMlZim,https://i.scdn.co/image/ab67616d0000b273403882d0a287578bc0e92a4f
Immigrant Song - Remaster,Led Zeppelin,0.013,0.564,146250,0.932,0.169,-10.068,0.349,0.0554,4,11,0.619,112.937,1,1,https://open.spotify.com/track/2BLKSqxCKXRYZxLe3JFVbX,https://i.scdn.co/image/ab67616d0000b273403882d0a287578bc0e92a4f
Black Dog - Remaster,Led Zeppelin,0.396,0.437,295387,0.864,0.0314,-7.842,0.242,0.0904,4,4,0.749,81.394,0,1,https://open.spotify.com/track/46hZc68YPyPqiI1BGQKDLl,https://i.scdn.co/image/ab67616d0000b273403882d0a287578bc0e92a4f
Heartbreaker - 1990 Remaster,Led Zeppelin,0.0746,0.403,254133,0.709,0.494,-9.366,0.132,0.0885,4,9,0.654,97.161,1,1,https://open.spotify.com/track/6WE7jSshLCuVKoCmobVKVf,https://i.scdn.co/image/ab67616d0000b273fc4f17340773c6c3579fea0d
Sultans Of Swing,Dire Straits,0.0614,0.733,348624,0.794,0.0367,-10.023,0.33,0.0307,4,5,0.931,148.174,1,1,https://open.spotify.com/track/37Tmv4NnfQeb0ZgUC4fOJj,https://i.scdn.co/image/ab67616d0000b2739dfee5404d5e0763998c958e
Sunshine Of Your Love,Cream,0.369,0.684,250413,0.597,7.24e-05,-8.339,0.127,0.0353,4,2,0.712,115.092,1,1,https://open.spotify.com/track/4gxtH5mCSqVPTsqGcWKVOC,https://i.scdn.co/image/ab67616d0000b2738020d27d0cdccb625cc4d49e
Money,Pink Floyd,0.024,0.468,382834,0.536,0.00199,-10.422,0.269,0.144,1,11,0.785,126.256,0,1,https://open.spotify.com/track/0vFOzaXqZHahrZp6enQwQb,https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe
R U Mine?,Arctic Monkeys,0.00616,0.288,201726,0.758,0.0,-5.692,0.303,0.0371,4,6,0.619,97.094,0,1,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
No Quarter - Remaster,Led Zeppelin,0.724,0.336,422680,0.339,0.608,-14.237,0.126,0.0397,4,11,0.0768,139.869,1,1,https://open.spotify.com/track/55ZL7fjGAWfClmpnsK6Xon,https://i.scdn.co/image/ab67616d0000b27322f1b6c28ce5735646b2e569
Smells Like Teen Spirit,Nirvana,2.55e-05,0.502,301920,0.912,0.000173,-4.556,0.106,0.0564,4,1,0.72,116.761,1,1,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
Come As You Are,Nirvana,0.00016,0.5,218920,0.824,0.00161,-5.846,0.0916,0.0388,4,4,0.539,120.125,0,1,https://open.spotify.com/track/0MKGH8UMfCnq5w7nG06oM5,https://i.scdn.co/image/ab67616d0000b27328a90d00a2819504364880e4
Foxey Lady,Jimi Hendrix,0.0751,0.507,198773,0.847,0.237,-5.987,0.372,0.0411,4,1,0.566,98.096,0,1,https://open.spotify.com/track/23MrkN7g6Q5U7GLIxNHN1B,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040
I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.00225,0.535,173680,0.948,0.0,-4.19,0.376,0.0356,4,6,0.778,103.183,0,1,https://open.spotify.com/track/3DQVgcqaP3iSMbaKsd57l5,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf
Highway to Hell,AC/DC,0.061,0.574,208400,0.913,0.00158,-4.793,0.156,0.133,4,6,0.423,115.728,0,1,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0
Thunderstruck,AC/DC,0.000147,0.502,292880,0.89,0.0117,-5.175,0.217,0.0364,4,4,0.259,133.52,1,1,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508
Fluorescent Adolescent,Arctic Monkeys,0.00146,0.654,183893,0.828,0.000144,-5.377,0.122,0.0281,4,1,0.79,112.056,0,1,https://open.spotify.com/track/2x8evxqUlF0eRabbW2JBJd,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
Can't Stop,Red Hot Chili Peppers,0.0179,0.618,269000,0.938,0.0,-3.442,0.167,0.0456,4,9,0.875,91.455,1,1,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
Here Comes The Sun - Remastered 2009,The Beatles,0.0339,0.557,185733,0.54,0.00248,-10.484,0.179,0.0347,4,9,0.394,129.171,1,1,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
Wonderwall - Remastered,Oasis,0.000452,0.378,258773,0.896,0.0,-4.066,0.194,0.0407,4,2,0.469,174.302,1,1,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480
Crazy Train,Ozzy Osbourne,0.408,0.454,293183,0.913,0.000271,-4.008,0.248,0.107,4,9,0.521,137.688,1,1,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,https://i.scdn.co/image/ab67616d0000b273475ca6e5c1ce0ef70740c3c6
Johnny B. Goode,Chuck Berry,0.741,0.534,161560,0.803,6.07e-05,-9.129,0.307,0.0743,4,10,0.969,167.983,1,1,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2,https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157
Shot in the Dark,John Mayer,0.0629,0.741,249080,0.556,0.041,-9.184,0.103,0.0266,4,2,0.587,122.008,1,1,https://open.spotify.com/track/239yM7BAQ2CkNc61ogPGXo,https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0
Back In Black,AC/DC,0.011,0.31,255493,0.7,0.00965,-5.678,0.0828,0.047,4,9,0.763,188.386,1,1,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,0.8,0.695,280000,0.336,0.00264,-12.999,0.701,0.0313,4,9,0.422,79.109,1,1,https://open.spotify.com/track/612VcBshQcy4mpB2utGc3H,https://i.scdn.co/image/ab67616d0000b273d55ec7fcfacd95e73877b787
Spanish Castle Magic,Jimi Hendrix,0.0504,0.405,183320,0.831,0.0918,-5.293,0.805,0.0671,5,5,0.805,130.856,0,1,https://open.spotify.com/track/2KFE98Iw0X23sf4vJYcbLH,https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2
"Slow Dancing in a Burning Room - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.2,0.514,319227,0.536,8.27e-05,-7.13,0.727,0.0287,4,1,0.453,133.861,0,1,https://open.spotify.com/track/4OT8GH9u9Gx7ydJ49ULunN,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f
Knee Socks,Arctic Monkeys,0.123,0.665,257563,0.542,0.00291,-8.323,0.342,0.033,4,11,0.587,97.975,0,1,https://open.spotify.com/track/2LGdO5MtFdyphi2EihANZG,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
"Another Brick in the Wall, Pt. 2",Pink Floyd,0.0782,0.693,238747,0.394,0.000694,-15.882,0.247,0.0428,4,0,0.721,104.114,1,1,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf
Comfortably Numb - Live At Pompeii 2016,David Gilmour,0.026,0.211,599840,0.641,0.00382,-10.24,0.754,0.0495,4,11,0.251,127.142,0,1,https://open.spotify.com/track/0M8rrUcBYXa24y3AIKQ19z,https://i.scdn.co/image/ab67616d0000b273a005ef9a53630a336b58e4b5
Heart-Shaped Box,Nirvana,0.199,0.256,281160,0.641,0.0329,-10.283,0.0853,0.0552,4,1,0.382,203.006,1,1,https://open.spotify.com/track/11LmqTE2naFULdEP94AUBa,https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c
Something In The Way,Nirvana,0.745,0.427,232147,0.201,0.263,-13.044,0.109,0.0317,4,8,0.0668,105.218,1,1,https://open.spotify.com/track/4gHnSNHs8RyVukKoWdS99f,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6
Stairway to Heaven - (Live at MSG 1973) [Remaster],Led Zeppelin,0.0444,0.269,653027,0.765,0.0131,-8.535,0.967,0.0599,4,7,0.237,102.817,1,1,https://open.spotify.com/track/3sxIm3lTgdvXJdNHNn64BS,https://i.scdn.co/image/ab67616d0000b2731ac4670157a26949de3ba875
Lake Of Fire,Nirvana,0.277,0.541,175973,0.618,4.02e-05,-9.652,0.413,0.179,4,1,0.68,145.464,0,1,https://open.spotify.com/track/4UJmPSJsBsIR1U0N79BU1g,https://i.scdn.co/image/ab67616d0000b27336c5417732e53e23cb219246
Snow (Hey Oh),Red Hot Chili Peppers,0.116,0.427,334667,0.9,1.75e-05,-3.674,0.119,0.0499,4,11,0.599,104.655,1,1,https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO,https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517
The Ocean - Remaster,Led Zeppelin,0.08,0.401,271397,0.56,0.0121,-8.7,0.361,0.0612,4,9,0.735,88.256,1,1,https://open.spotify.com/track/0AqjkVFqa1ujle4Lb1k9wR,https://i.scdn.co/image/ab67616d0000b2731aa47e71c4edfeaddb65cd54
Babe I'm Gonna Leave You - Remaster,Led Zeppelin,0.375,0.411,402761,0.466,8.47e-05,-11.537,0.142,0.0332,4,4,0.158,136.093,0,1,https://open.spotify.com/track/38KeSzb6FZYSogDXpc7xz8,https://i.scdn.co/image/ab67616d0000b273c77c73285cc5cb64d97e1b0f
Wild Blue,John Mayer,0.557,0.816,252413,0.596,0.812,-8.989,0.0842,0.0294,4,0,0.876,123.027,1,1,https://open.spotify.com/track/4VFGpluBaU1WcquEMzhSz6,https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0
Belief,John Mayer,0.033,0.664,242333,0.735,0.0413,-8.024,0.0801,0.0343,4,5,0.841,101.346,1,1,https://open.spotify.com/track/35LDid9nvuYrUyZk5qGD0i,https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f
Slow Dancing in a Burning Room,Jamie Harrison Guitar,0.3,0.727,291940,0.228,0.82,-7.84,0.112,0.0456,4,1,0.197,134.054,0,1,https://open.spotify.com/track/63mbQdGt1vf4nQFzNlUVlJ,https://i.scdn.co/image/ab67616d0000b273362eae3b95c24d87b28f7822
